top,depth1,depth2,depth3,depth4,depth5,depth4_id,depth5_id
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용3(곱셈공식의 변형의 활용),문자3개3(직육면체의 길이. 넓이 또는 부피),11761,11772
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용3(곱셈공식의 변형의 활용),문자3개4(여러개의 직육면체의 부피),11761,11773
고등수학분류,공통수학1,다항식의 연산,다항식의 곱셈,다항식의 곱셈의 활용3(곱셈공식의 변형의 활용),문자3개5(사면체의 넓이 또는 부피),11761,11774
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈1(몫과 나머지),몫과 나머지1(구하기),11776,11777
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈1(몫과 나머지),몫과 나머지2(빈 칸 넣기),11776,11778
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈1(몫과 나머지),몫과 나머지3(다항식 구한 후 몫과 나머지 구하기),11776,11779
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈2(몫과 나머지의 해석),해석1(몫과 나머지에서 피제수 구하기),11780,11781
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈2(몫과 나머지의 해석),해석2(몫과 나머지에서 제수 구하기),11780,11782
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈2(몫과 나머지의 해석),해석3(제수와 나머지의 차수 사이의 관계),11780,11783
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈2(몫과 나머지의 해석),해석4(몫과 나머지의 성질 관련 참거짓),11780,11784
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈3(몫과 나머지의 변형),변형1(제수의 동차변형),11785,11786
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈3(몫과 나머지의 변형),변형2(제수의 차수변형),11785,11787
고등수학분류,공통수학1,다항식의 연산,다항식의 나눗셈,다항식의 나눗셈3(몫과 나머지의 변형),변형3(피제수의 변형),11785,11788
